gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Xkr4,1937.7555652618905,-0.23573023197260867,0.10803980333298756,-2.1818832013796685,0.029118153937914053,0.07933794344898841
LOC105243853,0.9625882751334927,0.5255057887360974,1.1897079092099447,0.441709922803718,0.6586991283027346,NA
LOC105242387,169.91340033952963,0.4560421478827144,0.1385274676875947,3.292070197306823,9.945278448770102e-4,0.00465952043902841
LOC105242467,3.4350732074239727,0.27317277843487736,0.583568460397889,0.4681075091834513,0.63970770955345,0.7725094327499753
Rp1,2.273455785643471,-0.25929235976640186,0.6821399633250133,-0.380116066653698,0.7038592598742667,0.8185061417846363
Sox17,251.00596317297848,-0.31973120753972883,0.08312448402503365,-3.846414342174311,1.198590066047182e-4,7.577901551651374e-4
Gm7357,2.8560544028204777,0.045944949418054486,0.6333081956917183,0.07254753646109384,0.9421661764776793,0.9679976957964501
LOC105243855,1.376729744132236,-3.3162429843309766,1.0257100010250744,-3.233119479206392,0.0012244633995707782,NA
Gm6123,6.285971037840423,-0.7794185450946979,0.40061638247437487,-1.9455483579595072,0.051709015496177214,0.1260372449645138
Mrpl15,1134.810992336274,-0.0823975554819322,0.05886447165525718,-1.399784168020699,0.1615779601833008,0.3011987770374593
Lypla1,2107.2879915781436,-0.07024825940108692,0.06457400835800442,-1.0878720585475183,0.27665159275355555,0.4437482921397474
LOC105243856,0.8968795782140475,-0.3184480687378789,1.0681892471033954,-0.2981195229229402,0.7656119415397389,NA
Tcea1,3321.5180909321175,0.07294904323109265,0.05639702074737905,1.2934910792159677,0.19584126745074776,0.34700729978708506
Gm6104,1.8575786304470179,0.44251714762282174,0.7847570350595522,0.5638906411195674,0.57282855971247,0.7215709485671644
Rgs20,426.1776483374446,-0.20464394830314572,0.1032857002098092,-1.9813386353332807,0.04755331041468498,0.11783683248587473
Gm16041,0.6785257834063226,1.5694477802978242,1.2017321266869367,1.3059880363060985,0.19155662607431878,NA
Atp6v1h,4758.26639632549,-0.007417772978046139,0.0488326985006263,-0.15190176266730382,0.8792644180213924,0.9302267382208188
Oprk1,71.86908845773081,0.16209608626553015,0.25088139510177787,0.6461064448392868,0.5182104218488603,0.6756337765500787
Npbwr1,4.801459441213665,0.7555714916960627,0.5283212077641156,1.4301365922706053,0.15267781967727298,0.28876993152631375
4732440D04Rik,399.2743682233972,-0.04882729663747298,0.08155567830928442,-0.598698921395819,0.5493736765965416,0.7014850387050728
Rb1cc1,6318.373413013405,-0.020583628471519,0.07766037092779768,-0.2650467442481828,0.7909734523733896,0.8757195974395358
Gm2147,1.2051079848181272,-0.6564724299990543,0.8805134377782279,-0.745556401337282,0.4559354282617202,NA
St18,5814.377597010196,0.17068737109797852,0.07840429540600768,2.177015560360481,0.029479406472677157,0.0801389486070832
LOC102641523,0.47807269452556206,1.3014427622774918,1.6024676830579918,0.8121491472414261,0.41670605504518815,NA
Pcmtd1,6789.070101558681,-0.194949654985483,0.05266917322384431,-3.7013995673891777,2.1441352340879593e-4,0.0012537653442974694
Gm9826,2.1480801987368485,1.439464320631986,0.7655589894404923,1.88027877732063,0.06007009411589183,0.14183460361142247
Gm26901,2.9798487463141026,-0.12920985227346946,0.5569550200864732,-0.23199333449478243,0.8165431908922012,0.8919876369520445
Sntg1,434.60727460807334,0.18786681379849704,0.11230116647926867,1.672883903954623,0.09435015307654779,0.2012175035083937
LOC102632599,1.0232789262958775,-0.35543931028523895,0.9780359909247599,-0.3634215034859416,0.7162900408369067,NA
LOC102632382,0.9713218234834692,-0.8549630759452662,1.08713090367489,-0.7864398602368733,0.43160983901537975,NA
Gm6187,1.7077080448579394,0.72472746851503,0.8524986941550841,0.8501214998731595,0.3952575394767432,0.5662189334504181
Rrs1,699.6066762253757,0.046310010152191654,0.07193151396670483,0.6438069713592753,0.5197006125751956,0.6770795870043732
Adhfe1,417.1742084699667,0.2402581083791219,0.07990476986918928,3.0068055858548157,0.002640085499015046,0.010768732237287177
2610203C22Rik,4.538087900359102,-0.6707276041419766,0.4454190055312206,-1.5058351705088244,0.13210949225111845,0.2593154321057857
3110035E14Rik,360.3619866318265,-0.5999694681970259,0.12245874820421365,-4.8993598007102745,9.614942981078179e-7,1.065220848916904e-5
Mybl1,648.0291978329695,0.36813120601670146,0.08524813536024767,4.318349069584059,1.5720066647486963e-5,1.2976221316528808e-4
Vcpip1,3419.3684582775895,-0.09545308499235466,0.05552133996923618,-1.7192143605547752,0.08557534689172246,0.18692457069554583
1700034P13Rik,3.8041102702125844,-1.025672525894642,0.5243715184224425,-1.9560035010680024,0.050464741676355146,0.12372389115063068
LOC105243859,0.8310356101768094,0.564435929637542,1.2435413947559377,0.4538939612447082,0.6499051501778788,NA
Sgk3,973.9464155423371,0.6574619682146161,0.13679051820038066,4.806341673854311,1.537171091203598e-6,1.6227766081297688e-5
Gm6195,0.30612098208293026,-0.39946279815885155,1.9113404254097246,-0.20899615413785888,0.8344512408797258,NA
Mcmdc2,36.73577678732807,-0.05844286677929455,0.19205798126268425,-0.3042980374731746,0.7609008401802337,0.856486453980476
Snhg6,272.83544485306527,0.06044711858615259,0.08800728638143913,0.6868422044529824,0.49218217082045407,0.653912376986978
Snord87,2.867750955420826,-0.5419035244121843,0.6317036956832258,-0.8578444737862152,0.3909783482952807,0.5624485663653557
Tcf24,9.73567240382053,-0.004913783784083448,0.31763787167451085,-0.015469766744686822,0.9876574042491643,0.9934952974434729
Ppp1r42,17.053200926107074,-0.04461764209048505,0.243895088910944,-0.18293784548805228,0.8548467875384613,0.9159920320439325
Cops5,2442.0699081946045,0.1612844701210106,0.04996730752883435,3.2277998975217765,0.001247462033560886,0.005651532359410947
Cspp1,1591.1870876492064,-0.18912988785305584,0.07844922270189995,-2.4108573844221826,0.015915070325605813,0.04865888177087154
Arfgef1,5894.79822696771,-0.03511857326166575,0.07338335718688,-0.4785631866396064,0.6322494128427836,0.7668988858672864
Cpa6,2.0690894911549953,-0.0979678339592025,0.7927311640283187,-0.1235826701468025,0.9016457145074039,0.944384647884812
Prex2,6274.581437843123,-0.31243282270647615,0.11009994116243109,-2.8377201604998334,0.004543699928366365,0.017043769336865147
A830018L16Rik,493.5031402895266,-0.09245904260033153,0.14614993693291056,-0.6326314231854538,0.5269743618998745,0.683017677789713
Gm30898,5.181122022821181,0.849159725798635,0.5067936214601817,1.6755533018588962,0.09382572229988181,0.20043901826668478
Gm7560,0.7021619619630121,0.5934287697229164,1.1993372492620782,0.4947972474698322,0.6207432475299196,NA
Gm2383,0.2856881251056791,0.8625146005997465,2.451505590189594,0.3518305665103711,0.7249653335940629,NA
Sulf1,1913.0171239536387,-0.5384352717979957,0.09387885532697403,-5.735426469812187,9.72672842468096e-9,1.767261688618394e-7
Slco5a1,128.21430944123117,-0.33784915568355345,0.11148507844865674,-3.0304428214502828,0.0024419541936295352,0.01005845154114848
Ncoa2,4978.469544047963,0.04611841782709436,0.06956585029355224,0.6629462247997403,0.5073649953065227,0.6666105127861981
Tram1,1723.9007346925785,-0.043519197293402215,0.03971735909498992,-1.095722331117727,0.2732003070248404,0.43970815254214873
Lactb2,736.4005370824867,0.1675328184236642,0.051532312429201074,3.251024658632062,0.0011498988382485946,0.0052735645991619055
