Feature,AM1,AM2,AM3,FM3,FM4,FM5
Tekt1,56,52,48,66,64,63
Tekt2,41,33,39,127,127,80
Tekt3,3,1,4,0,0,1
Tekt4,81,19,66,5,8,5
Tekt5,216,216,159,27,27,23
Telo2,394,475,409,1213,1147,1162
Telomerase-vert,4,6,1,2,1,4
Tenc1,548,425,520,148,118,112
Tep1,134,131,151,96,65,70
Tepp,0,0,0,0,0,0
Terf1,215,248,235,249,244,287
Terf2,905,964,906,1395,1363,1226
Terf2ip,1094,1129,899,1258,1322,1268
Tert,34,41,54,554,484,478
Tes,42,47,60,574,592,591
Tesb,41,28,37,68,65,40
Tesc,783,963,1060,23,36,29
Tesk1,1188,1193,1015,1335,1297,1133
Tesk2,94,118,103,94,63,71
Tesp2,0,0,0,0,0,0
Tet1,90,125,107,504,290,448
Tet2,1062,1148,1408,2308,1789,2189
Tet3,477,695,433,1554,1141,1277
Tex10,329,320,291,591,547,705
Tex101,0,0,0,0,0,0
Tex11,1,1,5,0,0,1
Tex12,1,1,1,1,0,2
Tex13,0,0,0,0,1,0
Tex13a,2,0,1,0,0,0
Tex14,6,5,4,5,8,7
Tex15,53,35,33,62,74,73
Tex16,0,0,0,3,0,2
Tex18,1,0,0,0,0,0
Tex19.1,0,0,0,0,0,0
Tex19.2,0,0,0,0,0,0
Tex2,2905,3170,2596,1033,1004,980
Tex21,1,0,0,0,1,0
Tex22,0,0,1,3,1,3
Tex24,0,0,0,0,0,0
Tex261,775,863,800,947,883,781
Tex264,1089,1355,1165,413,527,447
Tex28,0,0,0,0,0,0
Tex9,99,116,107,240,198,225
Tfam,644,599,628,796,709,792
Tfb1m,95,94,91,119,116,137
Tfb2m,381,324,336,369,385,492
Tfdp1,682,657,708,1433,1187,1256
Tfdp2,395,310,351,367,268,284
Tff1,0,0,0,0,0,0
Tff2,0,0,0,0,0,0
Tff3,0,0,0,0,0,0
Tfg,1031,1031,929,1167,1095,1223
Tfip11,1241,1367,1315,1162,1005,986
Tfpi,64,86,61,68,55,59
Tfpi2,1,0,0,1,0,0
Tfpt,429,501,537,406,444,347
Tfrc,3261,2340,2902,1857,1329,1783
Tg,7,3,1,1,2,7
Tgds,58,54,69,127,83,126
Tgfa,699,830,764,558,577,657
Tgfb1,109,119,78,34,36,40
Tgfb1i1,196,243,159,122,126,132
Tgfb2,341,314,247,264,228,313
Tgfb3,295,285,308,146,151,141
Tgfbi,111,87,76,17,21,18
Tgfbr1,811,844,735,2905,2387,3102
Tgfbr2,509,491,527,169,137,148
Tgfbr3,380,302,283,26,33,31
Tgfbrap1,1393,1505,1405,1693,1540,1637
Tgif1,25,27,35,55,41,60
Tgif2,59,64,71,507,362,370
Tgif2lx1,0,0,1,0,0,0
Tgif2lx2,0,0,1,0,0,0
Tgm1,3,4,9,8,8,10
Tgm2,362,303,374,49,42,46
Tgm3,61,83,74,11,15,9
Tgm4,11,13,15,11,6,13
Tgm5,0,0,0,0,0,1
Tgm6,2,6,1,4,13,5
Tgm7,7,5,9,1,0,0
Tgoln1,4393,4151,3764,1016,837,1020
Tgs1,640,638,627,1172,948,1238
Tgtp1,52,28,53,1,0,0
Tgtp2,55,27,66,0,0,0
Th,99,133,49,11,5,12
Th1l,1010,1100,1074,1324,1345,1137
Tha1,81,102,105,75,83,76
Thada,259,194,209,419,314,369
Thap1,122,133,116,157,128,119
Thap11,545,604,653,753,717,640
Thap2,249,217,210,415,399,498
Thap3,184,231,216,315,282,260
Thap4,298,350,295,343,360,345
Thap7,358,401,387,322,315,281
Thap8,0,0,0,4,1,1
Thbd,406,293,295,37,40,32
Thbs1,96,119,61,946,769,999
Thbs2,135,151,149,15,19,18
Thbs3,281,424,417,2061,2118,1808
Thbs4,350,264,441,10,7,8
Theg,6,11,6,1,0,0
Them4,318,332,281,270,316,299
Them5,1,0,0,4,2,3
Themis,1,1,2,1,2,0
Thg1l,158,186,191,249,247,239
Thnsl1,483,447,444,390,386,525
Thnsl2,54,76,55,13,25,25
Thoc1,1072,1027,1047,1375,1533,1685
Thoc2,1345,1002,1130,2735,2272,3117
Thoc3,610,611,590,658,666,614
Thoc4,433,529,558,1407,1333,1084
Thoc5,605,732,604,1641,1543,1415
Thoc6,106,135,88,364,342,320
Thoc7,550,587,480,732,677,695
Thop1,903,1250,993,1115,1068,1026
Thpo,123,84,149,32,29,22
Thra,15916,18441,17662,21311,23219,19562
Thrap3,3277,3199,3097,5035,4925,4430
Thrb,1369,1110,1243,60,64,72
Thrsp,443,449,489,36,45,49
Thsd1,77,99,92,112,107,124
Thsd4,414,423,404,277,185,216
Thsd7a,662,709,666,635,460,620
Thsd7b,190,235,195,247,246,286
Thtpa,566,597,617,1118,1138,1079
Thumpd1,1110,1123,1155,1646,1795,1622
Thumpd2,96,75,91,162,125,123
Thumpd3,446,419,409,579,556,656
Thy1,15665,16536,15320,379,593,495
Thyn1,619,500,540,679,736,713
Tia1,2179,1717,2144,6530,5221,7374
Tial1,1962,1648,1931,2789,2432,2982
Tiam1,4010,3553,3211,1739,1539,1439
Tiam2,1227,1177,1173,6383,5235,6098
Ticam1,136,134,146,113,74,68
Ticam2,16,13,14,8,5,7
Tie1,225,316,237,379,297,292
Tifa,177,148,139,36,28,31
Tifab,62,78,65,14,5,7
Tigd2,290,254,205,120,131,133
Tigd3,73,58,68,222,197,184
Tigd4,2,1,3,2,2,2
Tigit,1,0,0,2,1,0
Timd2,0,0,0,2,0,0
Timd4,1,3,0,0,0,0
Timeless,84,131,108,615,500,549
Timm10,312,394,435,381,395,318
Timm13,1232,1553,1095,986,1041,855
Timm17a,644,561,587,235,212,217
Timm17b,253,270,243,563,570,403
Timm22,468,563,486,434,463,420
Timm23,456,439,439,367,413,414
Timm44,1035,1149,1287,1113,1017,957
Timm50,514,630,507,1001,918,833
Timm8a1,286,260,251,240,267,264
Timm8a2,1,2,2,1,3,2
Timm8b,931,873,875,724,685,685
Timm9,246,201,183,161,191,174
Timp1,21,12,18,12,9,13
Timp2,7365,7847,6038,3018,3342,3286
Timp3,2011,1449,1556,234,239,268
Timp4,629,604,829,46,45,42
Tinag,0,0,2,0,0,0
Tinagl1,219,187,199,7,10,6
Tinf2,198,182,236,292,281,258
Tiparp,355,415,256,389,339,486
Tipin,165,169,183,424,370,432
Tiprl,791,823,760,1179,1181,1275
Tirap,34,25,34,24,22,18
Tjap1,353,498,392,517,422,362
Tjp1,2646,2735,2306,1508,1205,1540
Tjp2,865,1033,678,505,382,391
Tjp3,16,17,14,113,128,116
Tk1,40,30,30,259,168,176
Tk2,877,793,762,750,782,764
Tkt,2900,3543,2579,5018,5045,4702
Tktl1,1,1,0,19,15,11
Tktl2,0,0,1,0,0,1
Tlcd1,288,401,309,60,55,70
Tlcd2,6,11,5,5,4,4
Tle1,1116,1034,1050,1660,1421,1504
Tle2,456,499,635,873,757,783
Tle3,1175,1270,1182,4063,3623,3488
Tle4,1373,1352,1252,2588,2078,2767
Tle6,60,58,69,24,17,20
Tlk1,2354,2163,2059,1375,1310,1572
Tlk2,1225,1115,1163,1572,1580,1560
Tll1,73,74,81,66,55,63
Tll2,35,39,24,49,33,46
Tln1,1380,1764,1484,1387,1072,1179
Tln2,3419,4031,3476,1254,1267,1367
Tlr1,10,12,17,6,0,6
Tlr11,0,0,2,0,0,1
Tlr12,15,24,16,45,40,38
Tlr13,69,34,51,5,5,13
Tlr2,30,26,30,7,4,13
Tlr3,244,230,198,23,14,19
Tlr4,27,38,28,2,5,5
Tlr5,10,7,6,2,0,2
Tlr6,8,9,19,3,5,8
Tlr7,101,47,63,8,5,13
Tlr8,1,6,2,1,0,1
Tlr9,62,41,66,2,1,3
Tlx1,0,0,0,0,0,0
Tlx2,0,0,0,0,1,0
Tlx3,0,0,0,2,0,3
Tm2d1,199,191,181,157,148,154
Tm2d2,826,865,883,708,701,629
Tm2d3,465,529,513,407,413,357
Tm4sf1,154,162,146,13,14,20
Tm4sf19,0,0,0,0,0,0
Tm4sf20,0,0,0,1,0,0
Tm4sf4,1,0,0,0,0,0
Tm4sf5,3,9,3,2,3,0
Tm6sf1,277,300,296,82,55,79
Tm6sf2,18,30,33,38,36,26
Tm7sf2,247,327,283,678,690,620
Tm7sf3,816,847,768,504,495,490
Tm7sf4,4,5,2,0,0,0
Tm9sf1,485,552,502,559,523,465
Tm9sf2,2573,2189,1965,1148,1054,1381
Tm9sf3,2658,2836,2353,2281,1803,2412
Tm9sf4,1787,1970,1853,1605,1578,1538
Tmbim1,712,868,778,83,60,66
Tmbim4,488,614,521,338,305,302
Tmbim6,7610,8176,6728,2943,3133,2794
Tmc1,3,4,4,1,0,3
Tmc2,2,0,0,1,3,6
Tmc3,177,151,196,99,95,89
Tmc4,49,72,72,73,71,81
Tmc5,5,2,1,5,10,7
Tmc6,86,112,118,45,24,30
Tmc7,413,421,441,337,286,289
Tmc8,11,11,16,15,22,8
Tmcc1,1864,1695,1755,1916,1837,1860
Tmcc2,5654,7019,5423,2883,3032,2607
Tmcc3,1276,1495,1158,200,195,200
Tmco1,547,546,486,379,354,454
Tmco2,1,0,1,2,1,0
Tmco3,891,1136,997,715,608,593
Tmco4,54,54,57,17,13,13
Tmco5,44,29,29,0,3,1
Tmco5b,1,1,2,0,0,0
Tmco6,169,190,162,260,285,234
Tmco7,159,141,152,137,98,141
Tmed1,191,228,186,256,287,249
Tmed10,1122,1089,937,817,657,727
Tmed11,0,0,0,0,0,0
Tmed2,1770,1539,1403,1702,1530,1716
Tmed3,372,433,432,266,318,241
Tmed4,1446,1696,1631,1555,1275,1278
Tmed5,522,431,409,235,165,265
Tmed6,0,0,1,0,1,0
Tmed7,2193,1738,1649,1429,1117,1643
Tmed8,1411,1424,1461,901,738,945
Tmed9,2053,2307,2525,1778,1901,1587
Tmeff1,1908,2275,1874,5234,4490,5043
Tmeff2,1452,1974,1439,531,584,622
Tmem100,194,242,169,40,34,28
Tmem101,410,506,404,428,464,416
Tmem102,0,0,0,1,7,4
Tmem104,409,512,398,247,222,198
Tmem106a,29,11,15,7,7,5
Tmem106b,4194,3659,4087,1604,1406,1872
Tmem106c,461,562,492,569,530,394
Tmem107,133,114,91,116,110,107
Tmem108,393,365,286,944,791,884
Tmem109,635,837,606,376,380,339
Tmem11,515,574,529,561,631,527
Tmem110,246,250,208,220,195,222
Tmem111,1302,1380,1316,891,879,868
Tmem114,50,71,50,2,1,0
Tmem115,607,672,598,492,476,443
Tmem116,57,78,78,44,48,53
Tmem117,169,150,123,34,41,50
Tmem119,440,512,358,15,14,13
Tmem120a,217,278,232,594,612,492
Tmem120b,141,141,144,164,184,182
Tmem121,311,431,357,427,432,408
Tmem123,310,333,264,289,204,241
Tmem125,135,249,176,0,0,0
Tmem126a,230,221,229,275,282,306
Tmem126b,514,447,550,247,214,268
Tmem127,2600,2878,2586,2315,2422,2431
Tmem128,231,288,277,387,343,432
Tmem129,401,432,446,271,260,231
Tmem130,4462,6425,5050,3263,3739,3094
Tmem131,2123,2159,1932,3244,2755,3281
Tmem132a,3094,4575,3311,4046,3851,3599
Tmem132b,471,479,487,287,180,245
Tmem132c,254,236,232,119,140,148
Tmem132d,732,689,698,67,77,87
Tmem132e,453,554,405,176,177,140
Tmem134,413,470,351,301,291,282
Tmem135,1217,1208,1081,515,501,623
Tmem136,487,520,484,616,620,661
Tmem138,110,133,151,153,162,180
Tmem139,0,1,0,2,0,4
Tmem140,23,17,20,32,30,24
Tmem141,237,317,258,126,152,130
Tmem143,380,441,337,199,214,202
Tmem144,160,137,164,18,19,16
Tmem145,676,816,867,1081,1150,1027
Tmem146,10,12,18,46,60,47
Tmem147,713,831,967,907,922,821
Tmem149,127,154,178,358,370,333
Tmem14a,593,534,589,125,121,117
Tmem14c,404,421,400,343,396,330
Tmem150,141,184,161,530,561,500
Tmem150c,1288,1385,1345,1328,1655,1405
Tmem151a,4195,5253,4091,246,317,261
Tmem151b,2750,3954,3242,2827,2673,2414
Tmem154,7,8,4,18,21,21
Tmem158,359,512,327,131,137,163
Tmem159,243,244,228,40,37,37
Tmem160,545,622,466,289,275,223
Tmem161a,485,527,548,693,619,579
Tmem161b,342,259,273,371,331,443
Tmem162,0,5,5,2,2,0
Tmem163,441,557,421,230,258,246
Tmem164,939,874,818,988,843,852
Tmem165,580,540,448,538,467,567
Tmem167,1043,989,1019,1467,1162,1515
Tmem167b,1106,1008,1036,1133,1220,1306
Tmem168,347,323,250,524,459,603
Tmem169,355,392,336,641,617,651
Tmem17,109,103,115,97,114,104
Tmem170,43,76,60,65,46,40
Tmem171,2,0,3,2,0,0
Tmem173,32,69,47,10,17,11
Tmem174,5,3,7,0,0,0
Tmem175,492,498,566,278,285,324
Tmem176a,220,243,239,34,31,30
Tmem176b,509,503,521,317,259,246
Tmem177,162,201,189,380,315,350
Tmem178,1375,1356,1602,675,526,567
Tmem179,2618,3301,2881,757,947,751
Tmem179b,70,74,75,75,99,93
Tmem18,801,777,767,461,467,529
Tmem180,544,632,546,212,277,253
Tmem181a,2856,2725,4317,2588,3160,3028
Tmem181b-ps,4960,4645,7517,5056,6185,5904
Tmem182,1,0,0,0,0,0
Tmem183a,1255,1273,1204,2233,2179,2200
Tmem184a,9,11,11,4,4,6
Tmem184b,1509,1752,1510,849,703,725
Tmem184c,1447,1397,1211,971,887,1100
Tmem185b,218,238,184,191,154,181
Tmem186,398,481,539,715,676,648
Tmem188,451,421,464,653,543,712
Tmem189,679,844,666,416,392,337
Tmem19,871,877,854,700,684,733
Tmem190,5,10,8,4,3,2
Tmem191c,1574,1951,1827,311,333,307
Tmem192,298,273,235,113,109,117
Tmem194,129,102,126,380,326,345
Tmem194b,76,49,88,351,278,317
Tmem195,117,81,97,6,0,4
Tmem198,1235,1491,1118,598,607,531
Tmem199,597,610,588,433,447,423
Tmem2,470,433,412,1980,1346,1841
Tmem20,43,54,57,42,35,34
Tmem200a,339,298,283,315,329,420
Tmem201,1795,2130,1903,1608,1428,1450
Tmem202,47,20,33,1,4,3
Tmem203,166,142,130,136,120,111
Tmem204,188,185,205,66,47,55
Tmem205,340,364,325,181,200,143
Tmem206,222,222,217,706,523,593
Tmem208,277,329,301,396,426,382
Tmem209,570,550,521,671,623,736
Tmem210,13,13,21,6,7,6
Tmem211,1,1,0,0,2,1
Tmem212,31,22,23,0,0,0
Tmem213,1,0,0,0,0,1
Tmem214,1052,1239,1174,1100,938,926
Tmem215,223,232,189,6,9,11
Tmem216,122,101,122,181,205,182
Tmem217,1,1,0,0,0,0
Tmem218,242,273,267,180,152,121
Tmem219,149,156,169,186,159,172
Tmem220,23,43,25,17,15,23
Tmem221,2,4,4,1,1,0
Tmem222,1170,1380,1409,943,1105,923
Tmem223,433,398,343,657,571,586
Tmem224,126,122,125,95,86,98
Tmem225,0,0,0,0,0,0
Tmem229a,1506,1523,1206,113,112,134
Tmem229b,650,812,715,2888,2753,2785
Tmem231,100,103,85,84,91,95
Tmem232,37,44,37,1,2,4
Tmem25,1087,1048,1116,193,179,178
Tmem26,1,3,1,14,12,17
Tmem27,1,0,1,0,0,0
Tmem28,563,591,535,379,325,315
Tmem29,314,338,285,458,382,486
Tmem30a,9112,7913,7306,2225,1939,2860
Tmem30b,1,0,0,0,0,0
Tmem30c,4,5,8,19,27,33
Tmem33,2428,2128,2029,1838,1624,2067
Tmem35,996,1063,1054,1914,2031,2021
Tmem37,14,10,18,7,3,2
Tmem38a,1962,2441,2415,415,415,393
Tmem38b,245,263,241,186,163,174
Tmem39a,156,175,174,295,215,255
Tmem39b,149,179,147,462,386,396
Tmem40,26,33,19,1,3,0
Tmem41a,259,252,297,201,223,172
Tmem41b,556,601,510,528,512,550
Tmem42,178,224,190,76,123,102
Tmem43,720,713,668,1131,1084,1045
Tmem44,1764,2433,2119,5476,5519,5300
Tmem45a,8,23,8,10,8,10
Tmem45b,0,1,1,9,2,5
Tmem47,2980,2691,1996,469,329,427
Tmem48,483,399,387,683,593,701
Tmem49,1969,1768,1682,604,689,702
Tmem5,511,454,396,274,336,320
Tmem50a,1679,1612,1574,1203,1301,1046
Tmem50b,2055,2027,1877,1057,1133,1148
Tmem51,65,111,82,49,39,20
Tmem52,28,5,26,1,0,1
Tmem53,42,51,44,35,25,25
