Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM7759762,"rna-seq_blood_male_reference_1_vial_80006883006","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997411",SRX20997411,"Euan Ashley","Sep 30, 2023"
GSM7759763,"rna-seq_blood_female_reference_1_vial_80007993006","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997412",SRX20997412,"Euan Ashley","Sep 30, 2023"
GSM7759764,"rna-seq_hippoc_male_reference_2_vial_80034885205","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997420",SRX20997420,"Euan Ashley","Sep 30, 2023"
GSM7759765,"rna-seq_hippoc_male_reference_2_vial_80034885206","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997309",SRX20997309,"Euan Ashley","Sep 30, 2023"
GSM7759766,"rna-seq_hippoc_male_reference_2_vial_80034885207","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997325",SRX20997325,"Euan Ashley","Sep 30, 2023"
GSM7759767,"rna-seq_hippoc_female_reference_2_vial_80035995205","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997006",SRX20997006,"Euan Ashley","Sep 30, 2023"
GSM7759768,"rna-seq_hippoc_female_reference_2_vial_80035995206","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997759",SRX20997759,"Euan Ashley","Sep 30, 2023"
GSM7759769,"rna-seq_hippoc_female_reference_2_vial_80035995207","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997796",SRX20997796,"Euan Ashley","Sep 30, 2023"
GSM7759770,"rna-seq_skm-gn_male_reference_3_vial_80000885510","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997653",SRX20997653,"Euan Ashley","Sep 30, 2023"
GSM7759771,"rna-seq_skm-gn_male_reference_3_vial_80000885532","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997282",SRX20997282,"Euan Ashley","Sep 30, 2023"
GSM7759772,"rna-seq_skm-gn_male_reference_3_vial_80000885533","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997413",SRX20997413,"Euan Ashley","Sep 30, 2023"
GSM7759773,"rna-seq_skm-gn_male_reference_3_vial_80000885537","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997495",SRX20997495,"Euan Ashley","Sep 30, 2023"
GSM7759774,"rna-seq_skm-gn_male_reference_3_vial_80000885540","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997506",SRX20997506,"Euan Ashley","Sep 30, 2023"
GSM7759775,"rna-seq_skm-gn_male_reference_3_vial_80000885541","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997102",SRX20997102,"Euan Ashley","Sep 30, 2023"
GSM7759776,"rna-seq_skm-gn_female_reference_3_vial_80001995510","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997111",SRX20997111,"Euan Ashley","Sep 30, 2023"
GSM7759777,"rna-seq_skm-gn_female_reference_3_vial_80001995528","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997117",SRX20997117,"Euan Ashley","Sep 30, 2023"
GSM7759778,"rna-seq_skm-gn_female_reference_3_vial_80001995532","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997696",SRX20997696,"Euan Ashley","Sep 30, 2023"
GSM7759779,"rna-seq_skm-gn_female_reference_3_vial_80001995533","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997405",SRX20997405,"Euan Ashley","Sep 30, 2023"
GSM7759780,"rna-seq_skm-gn_female_reference_3_vial_80001995540","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997148",SRX20997148,"Euan Ashley","Sep 30, 2023"
GSM7759781,"rna-seq_skm-gn_female_reference_3_vial_80001995542","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997707",SRX20997707,"Euan Ashley","Sep 30, 2023"
GSM7759782,"rna-seq_heart_male_reference_4_vial_80032885819","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997151",SRX20997151,"Euan Ashley","Sep 30, 2023"
GSM7759783,"rna-seq_heart_female_reference_4_vial_80033995819","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997162",SRX20997162,"Euan Ashley","Sep 30, 2023"
GSM7759784,"rna-seq_adrnl_male_reference_6_vial_80040886026","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997835",SRX20997835,"Euan Ashley","Sep 30, 2023"
GSM7759785,"rna-seq_adrnl_female_reference_6_vial_80041996024","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997182",SRX20997182,"Euan Ashley","Sep 30, 2023"
GSM7759786,"rna-seq_lung_male_reference_7_vial_80026886619","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997191",SRX20997191,"Euan Ashley","Sep 30, 2023"
GSM7759787,"rna-seq_lung_female_reference_7_vial_80027996619","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997846",SRX20997846,"Euan Ashley","Sep 30, 2023"
GSM7759788,"rna-seq_liver_male_reference_8_vial_80002886808","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997439",SRX20997439,"Euan Ashley","Sep 30, 2023"
GSM7759789,"rna-seq_liver_male_reference_8_vial_80002886809","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997196",SRX20997196,"Euan Ashley","Sep 30, 2023"
GSM7759790,"rna-seq_liver_female_reference_8_vial_80003996808","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997440",SRX20997440,"Euan Ashley","Sep 30, 2023"
GSM7759791,"rna-seq_liver_female_reference_8_vial_80003996809","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997451",SRX20997451,"Euan Ashley","Sep 30, 2023"
GSM7759792,"rna-seq_bat_male_reference_9_vial_80030886905","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997310",SRX20997310,"Euan Ashley","Sep 30, 2023"
GSM7759793,"rna-seq_bat_female_reference_9_vial_80031996905","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997321",SRX20997321,"Euan Ashley","Sep 30, 2023"
GSM7759794,"rna-seq_wat_male_reference_10_vial_80004887012","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997231",SRX20997231,"Euan Ashley","Sep 30, 2023"
GSM7759795,"rna-seq_wat_female_reference_10_vial_80005997012","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997223",SRX20997223,"Euan Ashley","Sep 30, 2023"
GSM7759796,"rna-seq_kidney_male_reference_5_vial_80028885909","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997424",SRX20997424,"Euan Ashley","Sep 30, 2023"
GSM7759797,"rna-seq_kidney_female_reference_5_vial_80029995909","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997435",SRX20997435,"Euan Ashley","Sep 30, 2023"
GSM7759798,"rna-seq_blood_control_male_8w_biological_rep1_vial_90217013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997823",SRX20997823,"Euan Ashley","Sep 30, 2023"
GSM7759799,"rna-seq_blood_training_male_8w_biological_rep1_vial_90218013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997812",SRX20997812,"Euan Ashley","Sep 30, 2023"
GSM7759800,"rna-seq_blood_training_male_8w_biological_rep2_vial_90222013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997826",SRX20997826,"Euan Ashley","Sep 30, 2023"
GSM7759801,"rna-seq_blood_training_male_8w_biological_rep3_vial_90223013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997468",SRX20997468,"Euan Ashley","Sep 30, 2023"
GSM7759802,"rna-seq_blood_training_male_8w_biological_rep4_vial_90225013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997479",SRX20997479,"Euan Ashley","Sep 30, 2023"
GSM7759803,"rna-seq_blood_training_male_8w_biological_rep5_vial_90227013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997385",SRX20997385,"Euan Ashley","Sep 30, 2023"
GSM7759804,"rna-seq_blood_control_male_8w_biological_rep2_vial_90229013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997397",SRX20997397,"Euan Ashley","Sep 30, 2023"
GSM7759805,"rna-seq_blood_control_male_8w_biological_rep3_vial_90232013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20996978",SRX20996978,"Euan Ashley","Sep 30, 2023"
GSM7759806,"rna-seq_blood_control_male_8w_biological_rep4_vial_90237013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20996988",SRX20996988,"Euan Ashley","Sep 30, 2023"
GSM7759807,"rna-seq_blood_control_male_8w_biological_rep5_vial_90239013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997510",SRX20997510,"Euan Ashley","Sep 30, 2023"
GSM7759808,"rna-seq_blood_control_female_8w_biological_rep1_vial_90245013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997521",SRX20997521,"Euan Ashley","Sep 30, 2023"
GSM7759809,"rna-seq_blood_control_female_8w_biological_rep2_vial_90248013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997532",SRX20997532,"Euan Ashley","Sep 30, 2023"
GSM7759810,"rna-seq_blood_training_female_8w_biological_rep1_vial_90251013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997861",SRX20997861,"Euan Ashley","Sep 30, 2023"
GSM7759811,"rna-seq_blood_control_female_8w_biological_rep3_vial_90252013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997872",SRX20997872,"Euan Ashley","Sep 30, 2023"
GSM7759812,"rna-seq_blood_training_female_8w_biological_rep2_vial_90254013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997007",SRX20997007,"Euan Ashley","Sep 30, 2023"
GSM7759813,"rna-seq_blood_training_female_8w_biological_rep3_vial_90258013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997018",SRX20997018,"Euan Ashley","Sep 30, 2023"
GSM7759814,"rna-seq_blood_training_female_8w_biological_rep4_vial_90259013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997886",SRX20997886,"Euan Ashley","Sep 30, 2023"
GSM7759815,"rna-seq_blood_control_female_8w_biological_rep4_vial_90265013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997897",SRX20997897,"Euan Ashley","Sep 30, 2023"
GSM7759816,"rna-seq_blood_control_female_8w_biological_rep5_vial_90266013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997739",SRX20997739,"Euan Ashley","Sep 30, 2023"
GSM7759817,"rna-seq_blood_training_female_8w_biological_rep5_vial_90267013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997750",SRX20997750,"Euan Ashley","Sep 30, 2023"
GSM7759818,"rna-seq_blood_training_male_4w_biological_rep1_vial_90280013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997905",SRX20997905,"Euan Ashley","Sep 30, 2023"
GSM7759819,"rna-seq_blood_training_male_4w_biological_rep2_vial_90281013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997637",SRX20997637,"Euan Ashley","Sep 30, 2023"
GSM7759820,"rna-seq_blood_training_male_4w_biological_rep3_vial_90283013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997046",SRX20997046,"Euan Ashley","Sep 30, 2023"
GSM7759821,"rna-seq_blood_training_male_4w_biological_rep4_vial_90289013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997056",SRX20997056,"Euan Ashley","Sep 30, 2023"
GSM7759822,"rna-seq_blood_training_male_4w_biological_rep5_vial_90292013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997760",SRX20997760,"Euan Ashley","Sep 30, 2023"
GSM7759823,"rna-seq_blood_training_female_4w_biological_rep1_vial_90406013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997771",SRX20997771,"Euan Ashley","Sep 30, 2023"
GSM7759824,"rna-seq_blood_training_female_4w_biological_rep2_vial_90410013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997781",SRX20997781,"Euan Ashley","Sep 30, 2023"
GSM7759825,"rna-seq_blood_training_female_4w_biological_rep3_vial_90412013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997567",SRX20997567,"Euan Ashley","Sep 30, 2023"
GSM7759826,"rna-seq_blood_training_female_4w_biological_rep4_vial_90416013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997577",SRX20997577,"Euan Ashley","Sep 30, 2023"
GSM7759827,"rna-seq_blood_training_female_4w_biological_rep5_vial_90420013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997717",SRX20997717,"Euan Ashley","Sep 30, 2023"
GSM7759828,"rna-seq_blood_training_male_1w_biological_rep1_vial_90421013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997728",SRX20997728,"Euan Ashley","Sep 30, 2023"
GSM7759829,"rna-seq_blood_training_male_1w_biological_rep2_vial_90422013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997538",SRX20997538,"Euan Ashley","Sep 30, 2023"
GSM7759830,"rna-seq_blood_training_male_1w_biological_rep3_vial_90423013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997549",SRX20997549,"Euan Ashley","Sep 30, 2023"
GSM7759831,"rna-seq_blood_training_male_1w_biological_rep4_vial_90426013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997785",SRX20997785,"Euan Ashley","Sep 30, 2023"
GSM7759832,"rna-seq_blood_training_male_1w_biological_rep5_vial_90430013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997797",SRX20997797,"Euan Ashley","Sep 30, 2023"
GSM7759833,"rna-seq_blood_training_male_2w_biological_rep1_vial_90439013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997024",SRX20997024,"Euan Ashley","Sep 30, 2023"
GSM7759834,"rna-seq_blood_training_male_2w_biological_rep2_vial_90441013002","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997033",SRX20997033,"Euan Ashley","Sep 30, 2023"
GSM7759835,"rna-seq_blood_training_male_2w_biological_rep3_vial_90444013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997581",SRX20997581,"Euan Ashley","Sep 30, 2023"
GSM7759836,"rna-seq_blood_training_male_2w_biological_rep4_vial_90449013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997594",SRX20997594,"Euan Ashley","Sep 30, 2023"
GSM7759837,"rna-seq_blood_training_male_2w_biological_rep5_vial_90450013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997605",SRX20997605,"Euan Ashley","Sep 30, 2023"
GSM7759838,"rna-seq_blood_training_female_1w_biological_rep1_vial_90559013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997616",SRX20997616,"Euan Ashley","Sep 30, 2023"
GSM7759839,"rna-seq_blood_training_female_1w_biological_rep2_vial_90560013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997627",SRX20997627,"Euan Ashley","Sep 30, 2023"
GSM7759840,"rna-seq_blood_training_female_1w_biological_rep3_vial_90564013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997293",SRX20997293,"Euan Ashley","Sep 30, 2023"
GSM7759841,"rna-seq_blood_training_female_1w_biological_rep4_vial_90567013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997304",SRX20997304,"Euan Ashley","Sep 30, 2023"
GSM7759842,"rna-seq_blood_training_female_1w_biological_rep5_vial_90571013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997654",SRX20997654,"Euan Ashley","Sep 30, 2023"
GSM7759843,"rna-seq_blood_training_female_2w_biological_rep1_vial_90576013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997075",SRX20997075,"Euan Ashley","Sep 30, 2023"
GSM7759844,"rna-seq_blood_training_female_2w_biological_rep2_vial_90578013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997069",SRX20997069,"Euan Ashley","Sep 30, 2023"
GSM7759845,"rna-seq_blood_training_female_2w_biological_rep3_vial_90581013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997080",SRX20997080,"Euan Ashley","Sep 30, 2023"
GSM7759846,"rna-seq_blood_training_female_2w_biological_rep4_vial_90585013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997091",SRX20997091,"Euan Ashley","Sep 30, 2023"
GSM7759847,"rna-seq_blood_training_female_2w_biological_rep5_vial_90587013001","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997347",SRX20997347,"Euan Ashley","Sep 30, 2023"
GSM7759848,"rna-seq_hippoc_control_male_8w_biological_rep1_vial_90217015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997238",SRX20997238,"Euan Ashley","Sep 30, 2023"
GSM7759849,"rna-seq_hippoc_training_male_8w_biological_rep1_vial_90218015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997249",SRX20997249,"Euan Ashley","Sep 30, 2023"
GSM7759850,"rna-seq_hippoc_training_male_8w_biological_rep2_vial_90222015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997260",SRX20997260,"Euan Ashley","Sep 30, 2023"
GSM7759851,"rna-seq_hippoc_training_male_8w_biological_rep3_vial_90223015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997271",SRX20997271,"Euan Ashley","Sep 30, 2023"
GSM7759852,"rna-seq_hippoc_training_male_8w_biological_rep4_vial_90225015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997283",SRX20997283,"Euan Ashley","Sep 30, 2023"
GSM7759853,"rna-seq_hippoc_training_male_8w_biological_rep5_vial_90227015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997367",SRX20997367,"Euan Ashley","Sep 30, 2023"
GSM7759854,"rna-seq_hippoc_control_male_8w_biological_rep2_vial_90229015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997378",SRX20997378,"Euan Ashley","Sep 30, 2023"
GSM7759855,"rna-seq_hippoc_control_male_8w_biological_rep3_vial_90232015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997678",SRX20997678,"Euan Ashley","Sep 30, 2023"
GSM7759856,"rna-seq_hippoc_control_male_8w_biological_rep4_vial_90237015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997684",SRX20997684,"Euan Ashley","Sep 30, 2023"
GSM7759857,"rna-seq_hippoc_control_male_8w_biological_rep5_vial_90239015202","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997685",SRX20997685,"Euan Ashley","Sep 30, 2023"
