Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM7760533,"rna-seq_liver_training_female_2w_biological_rep2_vial_90578016803","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997291",SRX20997291,"Euan Ashley","Sep 30, 2023"
GSM7760534,"rna-seq_liver_training_female_2w_biological_rep3_vial_90581016803","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997292",SRX20997292,"Euan Ashley","Sep 30, 2023"
GSM7760535,"rna-seq_liver_training_female_2w_biological_rep4_vial_90585016803","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997294",SRX20997294,"Euan Ashley","Sep 30, 2023"
GSM7760536,"rna-seq_liver_training_female_2w_biological_rep5_vial_90587016803","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997295",SRX20997295,"Euan Ashley","Sep 30, 2023"
GSM7760537,"rna-seq_bat_control_male_8w_biological_rep1_vial_90217016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997296",SRX20997296,"Euan Ashley","Sep 30, 2023"
GSM7760538,"rna-seq_bat_training_male_8w_biological_rep1_vial_90218016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997297",SRX20997297,"Euan Ashley","Sep 30, 2023"
GSM7760539,"rna-seq_bat_training_male_8w_biological_rep2_vial_90222016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997298",SRX20997298,"Euan Ashley","Sep 30, 2023"
GSM7760540,"rna-seq_bat_training_male_8w_biological_rep3_vial_90223016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997299",SRX20997299,"Euan Ashley","Sep 30, 2023"
GSM7760541,"rna-seq_bat_training_male_8w_biological_rep4_vial_90225016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997300",SRX20997300,"Euan Ashley","Sep 30, 2023"
GSM7760542,"rna-seq_bat_training_male_8w_biological_rep5_vial_90227016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997301",SRX20997301,"Euan Ashley","Sep 30, 2023"
GSM7760543,"rna-seq_bat_control_male_8w_biological_rep2_vial_90229016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997302",SRX20997302,"Euan Ashley","Sep 30, 2023"
GSM7760544,"rna-seq_bat_control_male_8w_biological_rep3_vial_90232016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997303",SRX20997303,"Euan Ashley","Sep 30, 2023"
GSM7760545,"rna-seq_bat_control_male_8w_biological_rep4_vial_90237016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997305",SRX20997305,"Euan Ashley","Sep 30, 2023"
GSM7760546,"rna-seq_bat_control_male_8w_biological_rep5_vial_90239016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997306",SRX20997306,"Euan Ashley","Sep 30, 2023"
