ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000021708,340.1386923336998,3.9480550825185095,0.15734819553619184,25.091200245829402,6.204484624867739e-139,9.964402307537589e-135
ENSMUSG00000063651,928.8513846150922,2.9513041790463617,0.12248788647269833,24.094661635819687,2.843499266947235e-128,2.2833299113586295e-124
ENSMUSG00000005566,3017.367779187034,-2.4917895004172275,0.10501512666967804,-23.7279102491118,1.8579569010624269e-124,9.946262610354192e-121
ENSMUSG00000021238,974.2131597865047,2.4473417354502804,0.1120117958340153,21.848964363332538,7.951568350170238e-106,3.1925546925933505e-102
ENSMUSG00000020431,334.97747345717033,2.693539010278706,0.12510961513716268,21.52943246868493,8.253812017994358e-103,2.651124420179788e-99
ENSMUSG00000024365,243.85729616048147,3.7183217117976874,0.1737581448319509,21.399409595411132,1.3531054293368249e-101,3.621812199191568e-98
ENSMUSG00000038932,433.99210586218675,2.4288688222047496,0.11439405856843261,21.232473544522033,4.787525757712796e-100,1.0983951952695356e-96
ENSMUSG00000037411,8953.654685775016,1.913721091365118,0.09277933582157331,20.626587530713213,1.584443342597959e-94,3.180770010265403e-91
ENSMUSG00000020953,413.90511470591656,2.895910529622053,0.14120952053660601,20.5078986078091,1.830329122605316e-93,2.959254652647072e-90
ENSMUSG00000051726,210.41300152260501,3.139690856212686,0.15309909510628725,20.507572915653046,1.8426243167167322e-93,2.959254652647072e-90
ENSMUSG00000034533,230.3038994524204,5.282022078733583,0.26410821909511606,19.9994611937136,5.567064382320474e-89,8.127913998187891e-86
ENSMUSG00000092035,1090.566196243845,-1.6650389584714977,0.09217420059073006,-18.06404555505253,6.117078160921652e-73,8.186689605366812e-70
ENSMUSG00000028148,475.83412903180556,2.806680673108633,0.1565003562662744,17.934020982886853,6.398068490458765e-72,7.904075381289828e-69
ENSMUSG00000096035,177.96239475406182,3.5303078995316604,0.1985838118792842,17.77742035527889,1.0573430855833086e-70,1.212923568176281e-67
ENSMUSG00000026639,1133.9877305048471,1.3907001676492141,0.07882083814401974,17.64381349394124,1.1353382823495183e-69,1.2155688543022177e-66
ENSMUSG00000017723,200.09960497321035,2.5840025730647134,0.15179426610875288,17.023057848663445,5.540031015717877e-65,5.560806132026819e-62
ENSMUSG00000071042,183.89469745514234,4.375992940256212,0.2612315771366004,16.751393488574948,5.531525758095076e-63,5.225664922059231e-60
ENSMUSG00000020256,1274.365991542262,-1.3001835144394118,0.07891360549925971,-16.47603738561418,5.45448303919059e-61,4.61047355838952e-58
ENSMUSG00000029822,1558.593440065766,1.250549255331763,0.07588707680874644,16.479080601344624,5.1867626068250396e-61,4.61047355838952e-58
ENSMUSG00000044217,694.2576411589667,-1.7359488347182832,0.10641299162970914,-16.31331671191949,7.936389307171866e-60,6.372920613659008e-57
ENSMUSG00000031489,370.11368369200414,2.1332249907990835,0.13120856865139555,16.25827499472836,1.9515544792119968e-59,1.4924745207687938e-56
ENSMUSG00000042751,280.07520787835466,1.968767250124442,0.12438241792910427,15.828340394915008,1.983850447706756e-56,1.448210826825932e-53
ENSMUSG00000020423,5430.093787121596,0.7806399138848898,0.0498288815098647,15.66641454174213,2.5665525111022693e-55,1.7921231881870627e-52
ENSMUSG00000029134,241.7584218957023,3.6575158421967737,0.23753621120070062,15.397719041272582,1.6954515713309114e-53,1.134539676482268e-50
ENSMUSG00000032202,366.8857319722565,2.1108702266993213,0.13727187667679683,15.37729561073396,2.3245607540758935e-53,1.493297828418354e-50
ENSMUSG00000047261,630.3464240949925,1.4260184135413128,0.09462789340768395,15.069747007868164,2.5609179772075314e-51,1.5818593351520367e-48
ENSMUSG00000040907,221.66615007417033,-3.3502405964804205,0.22679206649645003,-14.77230067275242,2.21036930044034e-49,1.3147604061137726e-46
ENSMUSG00000026478,4914.404242078083,-0.8738948603887727,0.059252881318165744,-14.748563123813089,3.142849377979719e-49,1.802648607512653e-46
ENSMUSG00000023951,1439.8629804195195,-1.170337644165749,0.07941768602890298,-14.736486325474411,3.758365451492573e-49,2.0813568672748523e-46
ENSMUSG00000027401,906.2524978101168,1.6117813356000492,0.11143966891608031,14.463263856372382,2.0675634044683102e-47,1.1068356091920355e-44
ENSMUSG00000099452,75.01872983406223,4.797191667617371,0.3320226699962945,14.448385911934597,2.5662953280620245e-47,1.329506547376649e-44
ENSMUSG00000045838,1046.9818245750237,0.9994512454784603,0.06934361402652603,14.413025042163795,4.2852249752471626e-47,2.1506472844521697e-44
ENSMUSG00000013338,79.0472724566345,4.639233960250852,0.32796025431015896,14.145720096507274,1.9847454709399358e-45,9.65909462524102e-43
ENSMUSG00000032340,3054.303417184468,-0.8586869432261105,0.06167253373101074,-13.923328445874079,4.571109695918271e-44,2.1591771093072775e-41
ENSMUSG00000033847,85.25091977737601,3.864778826429782,0.2837175869439178,13.621921954361362,2.9665653818750475e-42,1.3612297152260932e-39
ENSMUSG00000031075,3471.5211935227303,1.0111693233848655,0.07441162055124696,13.58886308205689,4.662669071876496e-42,2.0800684803982365e-39
ENSMUSG00000058624,1013.6989393705057,1.7427726544023958,0.1294706933569926,13.460750145185425,2.661998909021017e-41,1.1554514183480415e-38
ENSMUSG00000000627,315.0273906273898,2.145195585105593,0.16056034989798676,13.36068080611782,1.0262124732551122e-40,4.3370979790729215e-38
ENSMUSG00000026483,2143.0113394629,-1.029358643464782,0.07706360228078675,-13.357260924739023,1.0744556025665427e-40,4.424553071081712e-38
ENSMUSG00000031511,1458.1228157532357,0.9245845515335346,0.0696384277600797,13.276930299445297,3.1504670434433076e-40,1.264912517942488e-37
ENSMUSG00000020333,150.56509961601705,-3.2416257598198044,0.2474063185804425,-13.10243723126987,3.1885166227804356e-39,1.2489652917525315e-36
ENSMUSG00000024803,418.7899760791626,2.0236517953030257,0.1550028726710115,13.055576070503932,5.906157496156023e-39,2.2584021282920412e-36
ENSMUSG00000026114,230.62863259153326,2.0380209947882704,0.1578619124013516,12.910150167234518,3.945309102940567e-38,1.4735270742610582e-35
ENSMUSG00000033174,574.3643976409011,1.2987161657743438,0.10179986148151514,12.757543545480807,2.8298483181773135e-37,1.0328946361347195e-34
ENSMUSG00000049922,670.4287521845476,1.282237159419164,0.10126238247300726,12.662522134129722,9.538485132932255e-37,3.357354386151051e-34
ENSMUSG00000032085,12001.708109516287,1.0937604425062595,0.0863821237878656,12.661884132326739,9.616332612885949e-37,3.357354386151051e-34
ENSMUSG00000031438,548.8374308908532,1.301039683100392,0.10388108937024342,12.524316899135956,5.496251810149467e-36,1.87808093768086e-33
ENSMUSG00000020598,244.73164754103038,-1.877491530281136,0.15014015320946947,-12.504926164966248,7.016498705820436e-36,2.3476035253224206e-33
ENSMUSG00000033066,920.4611791810739,-1.1577624771078985,0.09351647500106865,-12.380304936586503,3.340710920992166e-35,1.0949350487986568e-32
ENSMUSG00000032289,489.12516876254443,1.4633151317626683,0.11835185936801722,12.364107666551007,4.087249276946998e-35,1.3128244677553757e-32
ENSMUSG00000063011,13651.691015581759,0.667224268663179,0.054214916946472076,12.307023716774268,8.302890360442315e-35,2.6145964546804623e-32
ENSMUSG00000079018,2815.8799410407228,0.8991573118255378,0.07329254476555236,12.268059660116258,1.3443645041129403e-34,4.1520180646257356e-32
ENSMUSG00000052353,3495.221550398292,0.8247409567865511,0.06758784191559213,12.2025046726087,3.0140773372334062e-34,9.133223025654435e-32
ENSMUSG00000023039,371.17554820895185,-2.162922451551215,0.17901558029800094,-12.08231399719887,1.3098093695118591e-33,3.895470087844529e-31
ENSMUSG00000001663,194.55345350769167,2.4132541928483904,0.2011861701078407,11.995129643130177,3.768266802083551e-33,1.1003339062083969e-30
ENSMUSG00000025658,60.733588395989564,-4.220510637472784,0.35189834986904883,-11.993550521175656,3.8408188004963014e-33,1.1014919631423321e-30
ENSMUSG00000019929,2780.8392923721003,-0.9722031523979292,0.08113290692522693,-11.982846285711462,4.370559159771342e-33,1.2314242123846974e-30
ENSMUSG00000047562,242.3343959977502,1.97777103980066,0.16854558075523005,11.734339345704196,8.498732835923471e-32,2.3532698162919126e-29
ENSMUSG00000033826,75.44181846797278,4.87027996966241,0.4193745977936699,11.613197354548788,3.5315818913584954e-31,9.61308562291821e-29
ENSMUSG00000031688,104.18107296702708,-2.9639633778006544,0.2583222610213755,-11.473898401483076,1.7843561618628984e-30,4.776126659919691e-28
ENSMUSG00000020159,123.95039335662547,-2.2413815444572633,0.1957209092998254,-11.451926891590743,2.2997577250539413e-30,6.0101037603523925e-28
ENSMUSG00000020173,1273.928618202093,1.0204305450677427,0.08911154894775168,11.451159329146511,2.320214403124834e-30,6.0101037603523925e-28
ENSMUSG00000021614,7930.670001749215,-1.0410561222253645,0.09101259346626107,-11.438594183246634,2.6819599972660746e-30,6.730043368139556e-28
ENSMUSG00000024011,359.95955039510073,-1.646947791117979,0.1439797966422443,-11.438742306396323,2.6773855554237293e-30,6.730043368139556e-28
ENSMUSG00000027820,1673.8602478741407,-1.6164288229858355,0.14138025745351998,-11.433200448918766,2.8539236282907045e-30,7.051386687745956e-28
ENSMUSG00000019846,2539.4912876990024,-1.12490555869177,0.09852978811279638,-11.416908330341522,3.442638017594886e-30,8.377085842814224e-28
ENSMUSG00000000594,1596.488847728736,-1.048844337557542,0.0919755463078933,-11.403512995144132,4.015806661021858e-30,9.625948503882246e-28
ENSMUSG00000001349,1372.3913512027568,1.3520020869262535,0.11879411783074868,11.381052459621877,5.196874014357789e-30,1.2273793628027368e-27
