ensembl_gene_id,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
ENSMUSG00000000544,1363.2449496524287,1476.7027065428513,1725.327734666791,1435.7856842197011,1826.1263159334094,1641.2199430832077,1.0068752861231927,1.039163536381313,0,742.0411789261624,1001.5148724886016,939.0143112282561
ENSMUSG00000001138,296.89718441309896,260.6736351859082,307.88676746579097,289.2455523846234,312.4661766602475,330.36293455254713,198.35443136626895,197.44107191244944,175.44253590464854,246.07535239453713,250.81875101867436,248.00579590907572
ENSMUSG00000001143,376.13341047833114,327.8575617802145,354.36024180025004,282.98030576257383,272.55616655722525,268.72087096256746,323.20696684554486,339.80647639668933,284.04982003609763,300.44083722588834,326.50440922080065,294.3885592661166
ENSMUSG00000001305,428.6393434131236,497.1610567978662,463.904859874332,447.9651334765467,452.63791946110626,440.16286032219836,384.62635929905963,443.7228300348206,408.32161630189034,465.44485259121757,466.4348703154295,539.5545941533327
ENSMUSG00000001674,821.9565137610232,929.8255440651984,908.7223999327255,784.2000355265423,845.8975312079599,888.0309785931441,612.1801739629011,684.8087704752852,580.6312497796702,722.0117897777699,739.2552661603034,820.6909353174376
ENSMUSG00000002459,94.51067928262636,150.49199557124598,128.6319378900205,87.71345270869446,112.91612614513619,114.61571198761838,3.020625858369578,7.27414475466919,6.265804853737447,64.85706962336639,79.20592137431822,79.51330861207008
ENSMUSG00000002881,1495.9417619785404,2032.985618743707,1726.1576181370492,1728.1638599153493,1691.7950624159198,1811.6987751992451,1360.2885115524334,1382.0875033871462,1661.4825870493798,1654.8090558314805,1902.7022445697332,1709.5361351595066
ENSMUSG00000003051,87.8281060000164,92.71381870014261,113.69403542537296,88.75766047903606,86.63392436997518,93.42625262856288,1.0068752861231927,2.078327072762626,3.1329024268687236,41.01255873242286,74.80559240907833,38.81006729874849
ENSMUSG00000003134,217.66095834786677,231.11270748441348,224.89842043997132,281.9360979922322,320.2534957047397,309.1734751934916,61.41939245351475,46.76235913715908,51.17073963885582,160.23511318714046,181.29355336788393,168.49248729700562
ENSMUSG00000003135,711.2167279349155,784.7082626214969,781.7502289832213,766.448503430735,726.1675008988931,733.9258196181951,687.6958204221406,652.5947008474645,659.9981112603444,608.5119179368787,675.8905290608488,648.4120999912857
ENSMUSG00000003458,2521.239434196123,2237.2247555903978,2478.8619256612337,2620.961503557418,2438.404275806605,2552.3666955225945,3143.4646432766076,3066.571595861254,2776.7958510146455,2788.8539938047543,2602.3545500428777,2718.5978849269673
ENSMUSG00000003464,1099.7606316523793,966.1048644261238,1004.1589990124181,1056.7382635857,1072.7031983787938,1038.2835085937195,1326.0547518242447,1389.3616481418153,1153.9523938966465,1168.3810336562326,1051.6786226923364,1103.7204504961155
ENSMUSG00000003721,597.6129821305465,662.4335162198596,635.6907382177787,656.8066875448669,593.7830771425265,604.8627489766752,995.7996579758376,996.557831389679,1020.2818903502476,639.9866723129242,663.5696079581771,664.5040791151571
ENSMUSG00000004110,2.8639599782614047,0,0.8298834702581968,3.1326233110248025,3.8936595222460753,0.9631572435934318,1.0068752861231927,2.078327072762626,3.1329024268687236,3.8151217425509634,2.640197379143941,1.893174014573097
ENSMUSG00000004364,2134.6048371308334,2929.2191995117523,2338.6116191875985,2414.208365029781,2196.0239705467866,2144.951181482573,2326.8887862306983,2480.483361342194,3101.5734026000364,2266.182315075272,2187.843561517279,2211.2272490213772
ENSMUSG00000004451,1443.435829043748,1495.5142059892569,1618.2727670034838,1502.6149815215635,1667.4596904018817,1629.6620561600866,1257.5872323678677,1289.6019486492094,1285.5342958251329,1609.0275949208688,1577.0779011419806,1643.2750446494483
ENSMUSG00000004707,0.9546533260871349,1.3436785318861248,0,0,0.9734148805615188,1.9263144871868636,0,0,1.0443008089562413,1.9075608712754817,4.400328965239901,4.7329350364327425
ENSMUSG00000004709,5.727919956522809,1.3436785318861248,1.6597669405163935,9.397869933074407,6.813904163930632,7.705257948747454,0,0,1.0443008089562413,12.399145663290632,19.361447447055564,17.03856613115787
ENSMUSG00000004768,969.927779304529,992.9784350638463,984.2417957262213,1034.8099004085263,966.6009763975882,940.0414697471895,1075.3428055795698,1091.1217132003785,1101.7373534488345,1094.9399401121266,1106.2427018613112,1075.3228402775192
ENSMUSG00000004872,0.9546533260871349,0,0.8298834702581968,3.1326233110248025,1.9468297611230376,171.44198935963087,2.0137505722463853,5.195817681906564,1.0443008089562413,1.9075608712754817,1.7601315860959605,1.893174014573097
ENSMUSG00000004880,873.5077933697285,956.699114702921,896.2741478788525,848.9409172877215,762.1838514796692,833.1310157083185,490.3482643419948,496.7201703902675,499.1757866810833,698.1672788868264,739.2552661603034,723.192473566923
ENSMUSG00000005338,42.00474634783394,83.30806897693974,35.68498922110246,36.54727196195603,36.0163505807762,35.63681801295698,69.4743947425003,92.48555473793685,60.56944691946199,48.64280221752478,40.483026480207094,41.64982832060814
ENSMUSG00000005501,789.4983006740606,763.2094061113189,710.3802505410164,699.6192061288725,628.8260128427412,600.046962758708,998.8202838342072,995.5186678532978,1040.1236057204162,678.1378897384337,771.8177005030786,670.1836011588764
ENSMUSG00000005674,420.04746347833935,348.01273975850637,380.0866293782541,404.1084071221995,340.6952081965316,349.62607942441576,517.533897067321,474.89773612626,461.5809575586586,458.7683895417534,419.7913832838866,478.97302568699354
ENSMUSG00000005677,1.9093066521742699,1.3436785318861248,0.8298834702581968,2.0884155406832017,0,0,4.027501144492771,3.1174906091439385,0,0.9537804356377408,1.7601315860959605,1.893174014573097
ENSMUSG00000005681,4.773266630435675,10.749428255088999,9.128718172840165,5.221038851708004,4.867074402807594,4.815786217967159,6.041251716739156,5.195817681906564,10.443008089562412,1.9075608712754817,2.640197379143941,7.572696058292388
ENSMUSG00000005763,0,1.3436785318861248,2.48965041077459,4.176831081366403,0.9734148805615188,1.9263144871868636,0,0,1.0443008089562413,0,0.8800657930479803,0.9465870072865485
ENSMUSG00000005886,1113.1257782175992,1123.3152526568003,1036.5244543524877,1308.3923362380258,1245.971047118744,1202.0202400046028,1072.3221797212002,1065.1426247908457,1051.6109146189349,1121.6457923099833,1253.213689300324,987.2902485998701
ENSMUSG00000006005,5295.461999805338,6499.373058733186,5444.865448364028,5538.47801389185,5576.693850736941,5237.6490906610825,5382.755279614588,5501.331761602671,6344.127414409166,4975.872532722094,5411.524561452031,4696.018143148567
ENSMUSG00000006007,2.8639599782614047,1.3436785318861248,0,0,0,2.8894717307802953,0,0,2.0886016179124827,1.9075608712754817,0.8800657930479803,0
ENSMUSG00000006010,665.393368282733,928.4818655333123,742.7457058810861,644.2761943007677,687.2309056764323,635.6837807716649,1048.1571728542435,1011.1061208990175,1270.9140844997455,723.9193506490453,673.2503316817049,641.7859909402799
ENSMUSG00000006014,415.2741968479037,334.5759544396451,384.2360467295451,384.2684594857091,312.4661766602475,371.77869602706465,1014.9302884121782,1054.7509894270327,1097.5601502130096,445.415463442825,335.30506715128047,320.89299547013997
ENSMUSG00000006299,2371.358862000443,2157.9477222091164,2588.4065437353156,2429.8714815849053,2406.2815847480747,2255.714264495817,2479.9338297214235,2421.251039768459,2201.3861052797565,2367.283041252873,2189.603693103375,2435.568369748289
ENSMUSG00000006301,4695.939711022616,4270.210374334105,4638.218715273061,5259.674539210643,5555.278723364588,5401.385822071966,3808.0023321179146,3819.965159737706,3514.072222137752,4814.683639099316,4822.760545902932,4868.296978474719
