ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000019102,7124.303575916993,3.7620121461041363,0.09574318176059451,39.29274207233925,0,0
ENSMUSG00000020758,10737.040421512209,4.277085394054589,0.09238000817569586,46.29882025903352,0,0
ENSMUSG00000045545,5950.714170447186,9.209505727860767,0.2432709639192558,37.85698703819622,0,0
ENSMUSG00000053797,2621.2182477266565,7.971450483991295,0.2115515511662468,37.680888842677255,0,0
ENSMUSG00000054889,8415.842655565828,4.6453854784188,0.10930778161144117,42.49821385024404,0,0
ENSMUSG00000049382,11170.892130969354,10.63543304920444,0.2771113074565615,38.379642991910735,0,0
ENSMUSG00000027375,6205.1553169173885,5.766787450931627,0.14023369384544535,41.12269521536908,0,0
ENSMUSG00000037820,7422.829060523577,4.043382208032142,0.09903637721434563,40.827242693672055,0,0
ENSMUSG00000047281,2900.768616915337,5.367587555873413,0.126872018758432,42.30710292466817,0,0
ENSMUSG00000097767,6395.315628135188,6.609784856977902,0.13458666383719353,49.111737140416906,0,0
ENSMUSG00000025608,6073.9682620848025,8.318102713062276,0.18714456226561937,44.44747211653505,0,0
ENSMUSG00000030693,2072.016710530473,5.445880821692101,0.1277568023536528,42.62693431083979,0,0
ENSMUSG00000047586,4102.403663330611,7.395288690594277,0.17972152052203164,41.14859850458313,0,0
ENSMUSG00000000303,3964.8230967693057,5.845363457798438,0.13934116444480188,41.95001154963076,0,0
ENSMUSG00000056602,1663.9942875936238,5.40752600769461,0.1472749834475236,36.71720669125994,3.8813832543661866e-295,4.520517696918486e-292
ENSMUSG00000074796,1472.020096151576,4.280332063117489,0.11722464535896429,36.51392631652067,6.667239528867339e-292,7.279792160582026e-289
ENSMUSG00000024406,5955.562816150917,4.6745579799993475,0.13035757194340591,35.859504824382455,1.3075979621205732e-281,1.343749199896848e-278
ENSMUSG00000042793,1269.143988224625,4.150441296006256,0.11626756752984044,35.69732629816163,4.349401155099436e-279,4.221335454421508e-276
ENSMUSG00000031995,1679.1291282868099,6.006148060869662,0.1697848726294013,35.37504824696372,4.131748370914528e-274,3.7990338968356215e-271
ENSMUSG00000063011,13651.691015581759,1.9241365624220916,0.05578841559302873,34.48989439776329,1.1370302092430257e-260,9.93195887773783e-258
ENSMUSG00000028435,1350.1008171832311,6.228541432210772,0.18623315749783614,33.44485759622661,3.0572522524230187e-245,2.5433427071347684e-242
ENSMUSG00000026413,1512.5810081367201,5.51986499290859,0.16600576674823136,33.25104362958764,1.9716314465409613e-242,1.565654607775936e-239
ENSMUSG00000003153,984.1051486094275,4.750862075938121,0.1502651417019184,31.616528105782688,2.1885546535726435e-219,1.6623499912136557e-216
ENSMUSG00000063450,2759.7457986412483,3.4647398049963414,0.11000265497711403,31.496874377415505,9.58613083336553e-218,6.977904402453991e-215
ENSMUSG00000037185,1057.0479490402472,4.876040649354087,0.15718353703095359,31.021319035427137,2.7810672980321804e-211,1.9434098278648876e-208
ENSMUSG00000034282,1521.9988544759924,6.9273638701753,0.22345933889210487,31.00055654205667,5.298200851034016e-211,3.5599834179832404e-208
ENSMUSG00000019866,2875.8141975233125,2.9949975625617187,0.09698151924010881,30.882147300112333,2.0745786752025562e-209,1.3423292391032838e-206
ENSMUSG00000022871,1388.9518951151929,6.642092926373817,0.21633949929399907,30.702173888955,5.323817443160775e-207,3.321681811857812e-204
ENSMUSG00000026479,926.5984531527102,3.260174690955593,0.10620873789523566,30.695917827132362,6.452380264393095e-207,3.887002869618875e-204
ENSMUSG00000060716,1265.1571771173808,6.874047057845288,0.22750560943570666,30.214846459809603,1.511841071212271e-200,8.803954504692792e-198
ENSMUSG00000020788,2204.177126725738,8.895825062582931,0.30615965776829696,29.056163465257505,1.2862378754461173e-185,7.248572801304409e-183
ENSMUSG00000038807,1438.1902174500856,2.9766517158533152,0.10245449443593922,29.053402998484355,1.3937822999550447e-185,7.609180243817073e-183
ENSMUSG00000024421,927.7167656538226,5.828642058185832,0.20111653830652512,28.981415985304498,1.1283852654838405e-184,5.9736032084856645e-182
ENSMUSG00000038295,1047.0132667567564,5.189949478135111,0.17975062640550124,28.87305364058678,2.602734636556443e-183,1.3373462970776784e-180
