gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Xkr4,1937.7555652618905,-0.23573023197261536,0.10803980333117985,-2.1818832014162375,0.029118153935214462,0.07933794344163286
LOC105243853,0.9625882751334927,0.5255057887363508,1.1897079092130085,0.4417099228027935,0.6586991283034037,NA
LOC105242387,169.91340033952963,0.45604214788264197,0.13852746768549623,3.2920701973561695,9.945278447025035e-4,0.004659520438210819
LOC105242467,3.4350732074239727,0.27317277843397764,0.5835684604033244,0.4681075091775495,0.6397077095576702,0.7725094327550716
Rp1,2.273455785643471,-0.2592923597638812,0.6821399633414805,-0.3801160666408266,0.7038592598838207,0.8185061417949038
Sox17,251.00596317297848,-0.31973120753983336,0.08312448402726061,-3.8464143420725208,1.1985900665448886e-4,7.577901554798046e-4
Gm7357,2.8560544028204777,0.04594494941880135,0.6333081956986212,0.07254753646148239,0.9421661764773701,0.9679976957961324
LOC105243855,1.376729744132236,-3.3162429843323062,1.025710001042968,-3.2331194791512865,0.0012244633998069806,NA
Gm6123,6.285971037840423,-0.7794185450957165,0.4006163824848374,-1.9455483579112398,0.05170901550198027,0.12603724497865834
Mrpl15,1134.810992336274,-0.08239755548196756,0.058864471657004466,-1.3997841679797498,0.16157796019556692,0.30119877706032466
Lypla1,2107.2879915781436,-0.0702482594011028,0.06457400835903089,-1.0878720585304713,0.2766515927610823,0.4437482921518203
LOC105243856,0.8968795782140475,-0.31844806874263965,1.068189247125913,-0.29811952292111266,0.7656119415411338,NA
Tcea1,3321.5180909321175,0.07294904323106984,0.05639702074879585,1.2934910791830683,0.19584126746211925,0.347007299807234
Gm6104,1.8575786304470179,0.4425171476233302,0.784757035067369,0.5638906411145985,0.5728285597158518,0.7215709485757626
Rgs20,426.1776483374446,-0.20464394830314292,0.10328570020908895,-1.9813386353470703,0.047553310413139586,0.11783683248204525
Gm16041,0.6785257834063226,1.569447780298965,1.201732126721109,1.305988036269911,0.19155662608662516,NA
Atp6v1h,4758.26639632549,-0.007417772978074666,0.048832698502382345,-0.15190176266242553,0.87926441802524,0.9302267382248894
Oprk1,71.86908845773081,0.1620960862655854,0.25088139509311735,0.6461064448618108,0.5182104218342745,0.6756337765685599
Npbwr1,4.801459441213665,0.7555714916957967,0.5283212077667555,1.4301365922629556,0.15267781967946814,0.2887699315304656
4732440D04Rik,399.2743682233972,-0.04882729663746773,0.08155567831045071,-0.5986989213871929,0.5493736766022949,0.7014850387124191
Rb1cc1,6318.373413013405,-0.020583628471515302,0.07766037092784822,-0.26504674424796265,0.7909734523735592,0.8757195974395426
Gm2147,1.2051079848181272,-0.656472429998262,0.8805134378037327,-0.7455564013147865,0.45593542827531375,NA
St18,5814.377597010196,0.1706873710979812,0.07840429540600068,2.17701556036071,0.029479406472660057,0.08013894860703671
LOC102641523,0.47807269452556206,1.3014427622775209,1.602467683052918,0.8121491472440155,0.4167060550437025,NA
Pcmtd1,6789.070101558681,-0.19494965498549124,0.05266917322532348,-3.7013995672853834,2.1441352349651997e-4,0.001253765344535956
